gene,importance,mean_non_msi_h,mean_msi_h,higher_in
HTRA4,0.0026163026999645868,2.290306002562725,2.5207911657055737,MSI-H
HSPH1,0.002599375474723605,9.001983212217127,7.9910610887983955,Non-MSI-H
SLC2A5,0.0025993576871105924,4.767356771725138,5.583234750321348,MSI-H
THNSL2,0.002576833269015381,6.3173017582865105,5.1191713641555525,Non-MSI-H
CXCL9,0.002573211920936126,6.1572168407568935,7.461217710865726,MSI-H
IL18R1,0.0025702548856363218,4.396116347757306,4.843470504565466,MSI-H
UNC93A,0.002563021391919062,4.183982300803987,3.1608772435848365,Non-MSI-H
MUC5B,0.0025470206515115544,7.81298737139502,9.233822255716415,MSI-H
SDR42E1,0.002544046647204107,5.87967799042632,4.222668906929276,Non-MSI-H
CD274,0.0024842761945815064,4.471604139177014,5.38518454006408,MSI-H
PRR9,0.00248051402487404,1.4631072706662331,0.3603297848294172,Non-MSI-H
KRT20,0.0024664455293994386,8.892364695429169,7.620229472101262,Non-MSI-H
HTR4,0.002459493655517425,2.576271863756837,1.3631038873436994,Non-MSI-H
IDO1,0.0024594864942370244,5.2875756390088515,6.327452586065842,MSI-H
RNLS,0.0024503531083200666,5.381366182727899,3.8536498178617777,Non-MSI-H
SATB2-AS1,0.0024405251541157304,5.800160076765792,3.8030421070068288,Non-MSI-H
RBFOX3,0.002437275346867979,2.6208943408845227,1.6166912971314547,Non-MSI-H
PTGER2,0.0024096448598682676,4.783289570688409,5.740089577178684,MSI-H
WNT11,0.002407104559355026,6.020312606450657,4.367190910493745,Non-MSI-H
SYN3,0.00240665682641935,3.888930920041762,1.54459359931922,Non-MSI-H
DNAH14,0.0023993233993895107,5.331638207728442,4.450140330729355,Non-MSI-H
LOC101926964,0.002341498827250962,2.9625530240369424,1.323445570441708,Non-MSI-H
ZP2,0.0023365392141584335,2.144975519430939,0.7568023575919566,Non-MSI-H
CLEC6A,0.0023361741210645476,1.088874805464723,1.7966893315717498,MSI-H
KCNT1,0.0023330309299890704,2.7127751491063243,1.63825177454874,Non-MSI-H
PFDN4,0.002327880839115522,6.878282815247721,6.112779818148916,Non-MSI-H
LPO,0.0023220701506319937,2.551176031849284,1.5207351739949613,Non-MSI-H
EPDR1,0.002319111180530664,7.065099245152278,5.71703909899658,Non-MSI-H
TMEM252,0.0022628202347918323,3.3932652058580186,1.4132184482478096,Non-MSI-H
ABCA3,0.002260353253910592,5.244017639924791,6.206535404650959,MSI-H
