Pathway,Gene,Effect,p_value
Glycolysis,MIOX,0.6121127506511619,0.013586110216499301
Inflammatory Response,OLR1,0.6101410158248024,0.0011025281319731897
TNF-alpha Signaling via NF-kB,OLR1,0.6101410158248024,0.0011025281319731897
Complement,OLR1,0.6101410158248024,0.0011025281319731897
Complement,S100A12,0.6048736590270323,0.0015505010695495976
TNF-alpha Signaling via NF-kB,TNFAIP6,0.601176011680149,0.0006941579154916379
Interferon Gamma Response,TNFAIP6,0.601176011680149,0.0006941579154916379
Inflammatory Response,TNFAIP6,0.601176011680149,0.0006941579154916379
IL-2/STAT5 Signaling,MUC1,0.5994883312009183,0.00017764857485910143
Interferon Gamma Response,IFI44L,0.5929179070175499,0.0025392013787961993
IL-2/STAT5 Signaling,RHOH,0.5916340971496661,4.0128631237032105e-06
IL-6/JAK/STAT3 Signaling,CSF3R,0.590625115353645,0.000675958529551529
Inflammatory Response,CSF3R,0.590625115353645,0.000675958529551529
Complement,CP,0.5902831243028359,0.0061419743213433214
Interferon Gamma Response,XAF1,0.5891111006155612,6.78319122235918e-05
Allograft Rejection,CD2,0.5878282829438781,1.7980473034343508e-05
Complement,ITGAM,0.5873709151018165,0.00018173856698060987
Complement,MMP13,0.5872904367786789,0.0026930800735028046
Allograft Rejection,PTPRC,0.5839503106606649,0.00012241210471842674
Inflammatory Response,CD69,0.5783163211698596,1.8619816881322028e-05
Interferon Gamma Response,CD69,0.5783163211698596,1.8619816881322028e-05
TNF-alpha Signaling via NF-kB,CD69,0.5783163211698596,1.8619816881322028e-05
Allograft Rejection,CCR5,0.5777430768768719,5.697025031687351e-05
IL-2/STAT5 Signaling,CTLA4,0.5777069496452452,1.4186357858778674e-05
Complement,C4BPB,0.5750662572875793,8.097834491869354e-05
Glycolysis,ANGPTL4,0.5729181389027858,2.2765626899904485e-05
Complement,MMP8,0.568999489111621,0.004019643174819621
Complement,CR1,0.5658591629940042,0.0027027195103050995
IL-2/STAT5 Signaling,TIAM1,0.5593438836052895,5.9543895270958024e-05
Inflammatory Response,C3AR1,0.5508855469260334,0.00010140906483393856
Allograft Rejection,FGR,0.5496452537839644,0.0001384111353353805
IL-2/STAT5 Signaling,APLP1,0.5481074975143123,3.9398900675960074e-05
Inflammatory Response,CYBB,0.5444423296941876,0.00011240673630917153
mTORC1 Signaling,BCAT1,0.5319880102813448,0.0006619202197846348
Allograft Rejection,BCAT1,0.5319880102813448,0.0006619202197846348
Interferon Gamma Response,MX1,0.5319385408155632,0.0006358845086829458
Allograft Rejection,TLR1,0.5304823619636148,0.0003431343631852637
Inflammatory Response,TLR1,0.5304823619636148,0.0003431343631852637
Pperoxisome,ABCD2,0.5288222719146956,0.00044951845779133846
Inflammatory Response,CD70,0.5242001508414922,1.5611618835942315e-05
Allograft Rejection,CD3E,0.5227365993091233,8.115857391702683e-05
Allograft Rejection,CD3G,0.509325611233951,0.00026840097874675754
Inflammatory Response,IL10RA,0.5063169675099655,0.0001776395755057247
Interferon Gamma Response,IL10RA,0.5063169675099655,0.0001776395755057247
IL-2/STAT5 Signaling,IL10RA,0.5063169675099655,0.0001776395755057247
Inflammatory Response,TLR2,0.5001714696196053,0.00033913587678559504
IL-6/JAK/STAT3 Signaling,TLR2,0.5001714696196053,0.00033913587678559504
TNF-alpha Signaling via NF-kB,TLR2,0.5001714696196053,0.00033913587678559504
Allograft Rejection,TLR2,0.5001714696196053,0.00033913587678559504
Allograft Rejection,TLR6,0.49905806048609147,0.00029265296076335246
Interferon Gamma Response,PDE4B,0.49860406684466607,0.00015058584412488803
TNF-alpha Signaling via NF-kB,PDE4B,0.49860406684466607,0.00015058584412488803
Inflammatory Response,PDE4B,0.49860406684466607,0.00015058584412488803
Complement,DPP4,0.4976059557411654,0.0017680888253123594
Complement,FCN1,0.4958057508213525,0.011065582149551832
Interferon Gamma Response,KLRK1,0.49484567825204473,0.0010140327188083956
Allograft Rejection,CD80,0.4936651777192269,6.181837538259921e-05
TNF-alpha Signaling via NF-kB,CD80,0.4936651777192269,6.181837538259921e-05
Interferon Gamma Response,RSAD2,0.4910936308995941,0.0011356940138910507
IL-2/STAT5 Signaling,BCL2,0.4876636211388625,0.0005990799088334711
Allograft Rejection,ITGAL,0.48495970377068165,0.00022574481378708028
Allograft Rejection,ITK,0.48446819705202504,0.0010626071211941564
IL-2/STAT5 Signaling,IL18R1,0.4838701222632098,0.00015764826716455774
Inflammatory Response,IL18R1,0.4838701222632098,0.00015764826716455774
IL-6/JAK/STAT3 Signaling,IL18R1,0.4838701222632098,0.00015764826716455774
Complement,APOC1,0.47955901029739767,0.011219830897897094
Interferon Gamma Response,CMKLR1,0.47540254988087316,0.0006618973599950264
Inflammatory Response,CMKLR1,0.47540254988087316,0.0006618973599950264
Interferon Gamma Response,DDX60,0.47241478194666886,0.00015771043413497624
