gene,importance,0,1,2,highest_in,lowest_in
GGT7,0.002017622609147233,6.868117736206035,5.57644503941286,6.862019804976114,0,1
ENPP3,0.00200079298983436,5.699651405985327,3.471183799147003,5.8028192809359,2,1
SEMA5A,0.0019993118175000136,7.6232550055598445,6.3224600132189,7.62604068484962,2,1
WNT11,0.0019309601644787943,5.993525947235667,4.206068443898375,6.049811637938561,2,1
SLC35D3,0.0019268986120187985,4.676390314600605,2.790660206714945,4.7291054702280135,2,1
WFDC21P,0.0019075730570362966,3.380971794744455,4.845011451284292,3.492120238683121,1,0
CXCL14,0.001817399037002828,8.340195942460905,6.397501957125818,8.233976678843229,0,1
TRPV6,0.0017994923211512536,1.6712341760632023,4.1567414772185725,1.8236552042314982,1,0
CDHR1,0.0017986917374334561,7.715287201416592,5.104324897861667,7.604043855105799,0,1
LINC02177,0.0017533537472175977,3.0676926326459313,1.7855443485941382,2.9538369515038805,0,1
OXCT1,0.0017525457222641204,6.392831791230245,7.314055232560663,6.591688417216291,1,0
ABAT,0.001734370375592153,6.811101805181795,5.70561697575691,6.764654195315534,0,1
NOX1,0.0017131054862685748,8.60546297267314,6.972705456335549,8.617809858786316,2,1
NR1I2,0.0017119250122539045,7.34533019453804,5.921070014280997,7.43853397352847,2,1
B4GALNT4,0.0016990098609977484,5.163748756700641,4.00523183695145,4.970345560362214,0,1
PTPRD-AS1,0.001664111245822733,4.024578289418742,1.7736209171221615,3.744619186513602,0,1
SESN1,0.0016598048201201222,7.505136327506779,6.555716866936882,7.394726251275172,0,1
LOC105375431,0.0016593272221293216,5.717110132408392,4.095907902392544,5.683994491877128,0,1
CYP2B6,0.001642018304177893,6.684119220415603,4.319307914087373,6.632386200082628,0,1
UNC5B-AS1,0.0016370838720268024,1.8393356519946316,3.1303076501308924,1.9481483576199277,1,0
CYP4F2,0.001631350396674544,5.153660811952781,3.069368028384086,5.083644388350299,0,1
GLRA2,0.0016045126908771636,3.1215220748476127,1.480694307712922,2.4042182219752357,0,1
ULBP2,0.0015790738698784595,3.506059378806579,5.0146758042986965,3.566392996379172,1,0
PTPRD,0.0015494610398288158,6.980875936978141,4.936751688842114,6.684432057847076,0,1
PMEPA1,0.0015349302472945903,8.809118548019258,7.813770629551565,8.754383318466667,0,1
LOC100505782,0.0015134608803018367,1.2617961465186778,0.11342408409162741,1.1666308615610101,0,1
ZNF439,0.001485444839752729,4.502336324357863,3.745092454718813,4.754416519244203,2,1
PLCB4,0.0014477599876728416,8.31354865104251,6.837043474985914,8.270799399844801,0,1
SPDEF,0.0014453180412408381,5.69492805083087,7.067999387794655,5.748012184757974,1,0
MTCO3P12,0.0014444804302854648,4.550439307003205,3.920728540095206,4.634358826251643,2,1
TMEM252,0.0014268318132493417,3.3560199025049977,1.589657227578463,3.2536371947748295,0,1
LCN12,0.0014122004186051251,4.829296912874459,3.6501171998858983,4.886935340876481,2,1
SYT17,0.0014014844987124398,4.824555377029783,5.423589464865028,5.014372232198947,1,0
H3C8,0.0014004797310856222,3.2571906462598403,2.305644115382889,3.1327740987661605,0,1
FAM83C,0.0013954255182658604,1.6413941476621692,0.5301591097686191,1.7441953683169926,2,1
SPIN3,0.0013845819132734564,4.923434613860148,3.0559023580662306,4.881060318542025,0,1
KRT86,0.0013776386587071616,2.858802411596321,3.6332723674176273,2.8662281704016497,1,0
CCL4L2,0.0013702692578075237,4.176033749169157,5.005683162762504,4.218736831893147,1,0
VNN2,0.0013699103778975258,3.5256063000920808,5.05853950152564,3.6202919325805247,1,0
APCDD1,0.001356458053882116,7.659590852301975,6.222118480741559,7.491559680156217,0,1
MOGAT3,0.0013253835710637014,6.60540402931719,4.925116693486095,6.5241264187860155,0,1
SLCO4A1-AS1,0.0013206200347913907,5.362983552445579,5.069908993598786,5.320828756776299,0,1
IGFL4,0.0013160652041186848,4.131051786437134,2.6060931175768953,4.285585134229245,2,1
GBP4,0.0013148264959174374,6.486556207500088,7.667353619281605,6.46281929060664,1,2
PDGFRL,0.0013122034531467966,3.7484388612990682,4.716109795507813,3.8985109977831907,1,0
MUC12,0.0013022722670959785,8.29870061294279,6.140059314438164,8.137192378440794,0,1
LINC01842,0.0012947204866076588,2.5193621585554267,2.556742703707619,2.2403113539060375,1,2
SATB2,0.0012939954297297442,8.092366309766714,7.085008745716835,8.08729121981037,0,1
PHACTR3,0.001287297019874243,4.092399325377995,2.5039241369523766,4.086075831919121,0,1
CXCL9,0.0012859134696582217,6.104200867538521,7.482453653309927,6.117332748015657,1,0
MSH4,0.0012786187430687736,1.4413975369629575,3.0549748308837246,1.6213856271445533,1,0
LINC00667,0.0012737029494287013,6.574660317150017,5.574186213187729,6.7292505140658125,2,1
SLC7A4,0.0012654492056589826,4.907446062481137,3.561059634805976,4.828855829000152,0,1
EIF5AL1,0.0012590629676637502,4.394639628477304,5.327524927485148,4.421393787746828,1,0
COL2A1,0.0012585824402824664,2.833354325813034,1.4231486951290615,2.860120127150334,2,1
RPL22L1,0.0012434467571181167,7.178544077244071,8.369445955952617,7.392364184376036,1,0
